country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
United_States_of_America,0.051 (0.05 - 0.052),27.0% (24.2% - 30.1%),3.7 (3.32 - 4.14),154786,593000 (534000 - 664000)
United_Kingdom,0.077 (0.074 - 0.08),17.9% (15.9% - 20.1%),5.59 (4.98 - 6.28),15084,87300 (78300 - 97900)
United_Arab_Emirates,0.007 (0.004 - 0.009),100.0% (100.0% - 100.0%),1 (1 - 1),6077,6080 (6080 - 6080)
Ukraine,0.033 (0.028 - 0.04),41.1% (33.2% - 51.0%),2.43 (1.96 - 3.01),2722,7150 (6280 - 8190)
Turkey,0.018 (0.016 - 0.021),74.9% (63.1% - 88.9%),1.34 (1.12 - 1.59),7619,12200 (10800 - 13800)
Switzerland,0.114 (0.083 - 0.15),12.1% (9.0% - 16.9%),8.28 (5.92 - 11.08),153,1420 (1150 - 1760)
Sweden,0.081 (0.072 - 0.089),17.1% (14.7% - 19.9%),5.85 (5.03 - 6.8),3511,24200 (21500 - 27200)
Sudan,0.062 (0.047 - 0.08),22.1% (16.9% - 29.5%),4.52 (3.39 - 5.93),1664,5840 (4870 - 7010)
Spain,0.066 (0.06 - 0.072),20.9% (18.1% - 24.0%),4.79 (4.17 - 5.51),4422,26200 (23400 - 29600)
South_Africa,0.035 (0.03 - 0.041),39.1% (32.2% - 47.6%),2.56 (2.1 - 3.11),6988,17000 (14900 - 19400)
Serbia,0.019 (0.01 - 0.032),74.2% (42.6% - 100.0%),1.35 (1 - 2.35),596,849 (693 - 1070)
Saudi_Arabia,0.006 (0.005 - 0.007),100.0% (100.0% - 100.0%),1 (1 - 1),18145,18100 (18100 - 18100)
Russia,0.011 (0.011 - 0.012),100.0% (100.0% - 100.0%),1 (1 - 1),63839,63800 (63800 - 63800)
Romania,0.048 (0.039 - 0.058),28.8% (22.9% - 36.4%),3.47 (2.75 - 4.37),1153,4710 (4090 - 5440)
Portugal,0.054 (0.044 - 0.065),25.3% (20.5% - 31.9%),3.96 (3.14 - 4.89),1661,5520 (4800 - 6360)
Poland,0.031 (0.025 - 0.039),43.7% (34.6% - 56.3%),2.29 (1.78 - 2.89),2674,8290 (7240 - 9520)
Philippines,0.029 (0.021 - 0.037),48.3% (36.0% - 66.4%),2.07 (1.51 - 2.78),1472,4830 (4180 - 5600)
Peru,0.039 (0.036 - 0.041),35.5% (31.1% - 40.3%),2.82 (2.48 - 3.21),27213,77600 (69500 - 87100)
Panama,0.025 (0.017 - 0.034),56.2% (39.5% - 82.5%),1.78 (1.21 - 2.53),1128,1980 (1650 - 2390)
Pakistan,0.023 (0.02 - 0.026),59.5% (50.7% - 70.1%),1.68 (1.43 - 1.97),14450,25600 (22800 - 28900)
Nigeria,0.026 (0.019 - 0.035),52.2% (39.0% - 72.0%),1.91 (1.39 - 2.57),1905,3370 (2870 - 3970)
Netherlands,0.078 (0.066 - 0.09),17.7% (14.7% - 21.4%),5.65 (4.66 - 6.8),1194,7760 (6790 - 8890)
Moldova,0.039 (0.028 - 0.053),35.4% (25.6% - 50.6%),2.83 (1.98 - 3.9),1060,3860 (3270 - 4560)
Mexico,0.169 (0.163 - 0.176),8.1% (7.2% - 9.1%),12.31 (11.01 - 13.84),18712,228000 (205000 - 256000)
Kuwait,0.008 (0.006 - 0.011),100.0% (100.0% - 100.0%),1 (1 - 1),6662,7490 (6930 - 8250)
Japan,0.116 (0.094 - 0.143),11.8% (9.3% - 15.0%),8.46 (6.68 - 10.71),265,2160 (1820 - 2600)
Italy,0.129 (0.121 - 0.136),10.7% (9.4% - 12.2%),9.33 (8.23 - 10.6),4567,44100 (39400 - 49600)
Israel,0.051 (0.027 - 0.086),26.9% (15.9% - 51.7%),3.71 (1.93 - 6.3),82,305 (219 - 423)
Ireland,0.053 (0.042 - 0.066),26.0% (20.3% - 33.7%),3.84 (2.97 - 4.92),534,1960 (1680 - 2300)
Iraq,0.058 (0.04 - 0.079),24.0% (17.2% - 34.9%),4.17 (2.87 - 5.83),1012,3460 (2800 - 4230)
Iran,0.038 (0.034 - 0.042),36.4% (31.5% - 41.9%),2.75 (2.39 - 3.17),15129,43000 (38300 - 48400)
Indonesia,0.087 (0.077 - 0.097),15.9% (13.5% - 18.6%),6.29 (5.37 - 7.38),4720,27600 (24400 - 31300)
